,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2225,327.053781363356,0.618733333333,15724.72212413586,10609.714445653495,7171.993436492037
FT2226,327.129854595731,4.359041341145834,39376.32829090349,38636.04051052616,45972.7567578953
FT2227,327.184049089748,0.7849826176961266,24950.016032870266,18584.049274688186,17589.536648284877
FT2228,327.120506136453,1.1008352915445967,28332.118926098196,25786.581714734442,27246.013239500313
FT2229,327.159329228965,5.423270161946617,540.963503845716,418.639909946056,497.8436214701108
FT2230,327.110618692483,6.270966666666999,1376.503277685419,2507.7439039203587,1634.2261488155493
FT2232,327.252303778923,0.8348499331156417,663418.4802745291,597812.4789743937,532267.2241636699
FT2233,328.047563141096,0.6686,19544.751040781204,12524.005897719864,13759.952188489911
FT2234,328.021420271849,4.7747833333330005,1471.5582165936157,1087.9611644029196,996.4091235704967
FT2235,328.13517847407,4.35889892578125,6467.615711997374,4973.5817174153635,8900.406111022388
FT2236,328.123923336721,1.100833333333,6468.9612347176235,6124.472022405343,6887.685850549637
FT2237,328.166706328193,0.8348498662312834,7383.2411012875855,5649.823320800928,7566.873092545401
FT2238,328.311531393426,0.951216666667,367729.43749019125,309167.63118390006,354137.31005665543
FT2239,328.255205675085,0.8348499331156417,142542.40130034045,134782.08731682447,120479.0238210062
FT2241,329.048968178951,0.6519819620766566,2516.441336455183,2829.6919453237647,4105.767284095309
FT2242,329.03716133515,5.157170613606767,3093.232576254163,2074.3165056464177,2549.8635609443445
FT2243,329.086009808387,6.37071685791015,1540.000096505998,759.4269740104326,1300.999214179334
FT2246,329.269943999798,0.8348499331156417,6481634.38254784,5690895.650583704,5067081.633618355
FT2248,329.921758566543,5.04074630737305,2822.609520499725,1666.7395518937387,2237.023619771962
FT2249,330.273098298621,0.8348499331156417,1277537.7676241626,1125080.9375649816,1018763.2383765744
FT2250,330.273230203428,0.93555367787679,1272258.4189195188,1122619.9155685406,1008065.2766331468
FT2252,330.918575885741,5.073995971679683,8748.764964115726,5214.856855029267,5245.515367694101
FT2253,331.096623386702,1.3169525146484367,6920.330232378483,7163.243559929148,7884.80542912821
FT2254,331.178734651249,1.0011014302571617,18280.148668849368,15679.625653676494,16719.514519380464
FT2255,331.144020288031,6.387333251952967,2543.9972935688047,2349.032362886742,2812.4533009849906
FT2256,331.274114519668,0.8348499331156417,224046.6705691593,201590.337784547,185587.66172240124
FT2257,331.274294587854,0.93555367787679,223159.80261995824,201183.53517565413,183812.4288509352
FT2258,331.917477084392,5.040725708007816,2658.9828380906715,2178.719021697485,2359.8308996880887
FT2259,332.074621312726,3.1620994567871166,1352.1927422910758,2458.7284753681074,2015.2719108455149
FT2260,332.14863397419,1.017716666667,4828.44726929563,4336.318368355248,5904.2978691638245
FT2261,332.123316112735,6.270966666666999,4568.964618753088,3800.173750370887,3290.3535425364544
