,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML
818,173.0958096183503,4.056116666667002,41296.4414223769,38160.21131255615,39031.321411014374,0.0
819,173.0958096183503,5.656116666666996,1771.1749370302236,1808.8188389332759,1671.6376324054506,0.0
820,173.11797633481865,0.8561166666669999,25840.804580944554,24649.42546745232,23595.876517095086,0.0
821,173.8283590163452,1.056116666667,2332.943302319636,3270.7307043261826,4304.088997504228,0.0
822,173.8283590163452,5.156116666666998,5862.172742457692,1843.9893802705992,1810.4851014927315,0.0
823,173.9873690662568,1.056116666667,217982.39992586154,186204.65636289906,205152.97734347577,0.0
824,173.9873690662568,1.156116666667,215589.02337641915,184187.56719587048,209872.20993884368,0.0
825,173.99412266339354,0.956116666667,306435.5062675754,299825.61574688175,273636.4338321878,0.0
826,174.01264112584545,7.956116666666988,15640.568355365236,13110.175010693987,12883.21110716931,0.0
827,174.01264112584545,8.056116666666988,15520.99604203354,15030.669823200697,12976.9881224401,0.0
828,174.01823600832086,4.956116666666999,2252.243464685888,1910.9765160831748,2328.1031746846006,0.0
829,174.04084534035613,3.3561166666670017,3357.0736701145847,2907.2178579063657,2748.773761548169,0.0
830,174.04084534035613,6.456116666666993,22463.188840778508,19172.492492291873,21031.28879614115,0.0
831,174.05620000315912,1.256116666667,4539.89912883248,5085.508923289805,5343.916756793822,0.0
832,174.05620000315912,2.0561166666670005,86131.06001947814,65355.452676212415,72834.12639789455,0.0
833,174.05620000315912,2.1561166666670006,85664.27477537122,64749.63343017499,72389.59668424746,0.0
