,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT2302,337.90548627819,0.668598769632975,0.9013113975524902,0.8556405305862427,0.7974914312362671
FT2304,338.036204761996,4.010066666667,0.9762919545173645,0.9818835258483887,0.9815596342086792
FT2305,338.242835867423,0.917966666667,0.9916222095489502,0.9949027299880981,0.994351863861084
FT2308,339.199117365516,0.7849826176961266,0.9940337538719177,0.9934840798377991,0.9950586557388306
FT2309,339.166718523653,1.2283881505330398,0.9787230491638184,0.9807804226875305,0.9737437963485718
FT2310,339.139757079914,6.054849751790367,0.9811625480651855,0.9875049591064453,0.9954403638839722
FT2311,339.121689449814,4.857900492350267,0.9751299619674683,0.9841522574424744,0.9818514585494995
FT2312,339.233097878238,0.9345921134947067,0.9973819851875305,0.9969043135643005,0.9978259205818176
FT2313,339.326626009061,0.8182247922263216,0.991654634475708,0.9914965629577637,0.9920673370361328
FT2316,340.046000221859,3.27693049112955,0.9512321352958679,0.9316081404685974,0.8255121111869812
FT2317,340.202595361688,0.7932913088480633,0.9908806085586548,0.9904817938804626,0.9915897250175476
FT2318,340.167559298909,1.2283881505330398,0.9724786877632141,0.9759504199028015,0.9850453734397888
FT2320,340.007062666609,0.6852310816446933,0.017201116308569908,0.9625877737998962,0.9683669805526733
FT2321,340.236364141619,0.9345921134947067,0.9963347911834717,0.9957002401351929,0.9969618916511536
FT2322,340.330005265247,0.8265414588928216,0.9867225289344788,0.9873955845832825,0.9886962175369263
FT2324,340.859715769708,11.141866048177084,0.961335301399231,0.9738759398460388,0.9787428379058838
FT2329,341.171428881645,5.3566345214843665,0.9893326759338379,0.9922773838043213,0.9903697371482849
FT2331,341.150047622212,6.121341579183116,0.933164119720459,0.9806171655654907,0.9429693222045898
FT2333,341.239074079587,0.919754219055175,0.9929206967353821,0.9924076795578003,0.9925392270088196
FT2334,341.268958339538,0.8348498662312834,0.9885805249214172,0.9856187701225281,0.9890552759170532
FT2335,342.026640121218,0.6686,0.9396700263023376,0.929929256439209,0.9602266550064087
FT2337,342.241486558386,0.9188608169555667,0.9907374978065491,0.9900660514831543,0.9904980063438416
FT2338,342.271632759492,0.8348499331156417,0.9872105121612549,0.9840616583824158,0.9847429990768433
FT2339,343.056602829063,0.668598769632975,0.8580522537231445,0.8432173728942871,0.8285719156265259
FT2342,342.986736191056,3.2270070393880164,0.9630022048950195,0.9999808073043823,0.943435549736023
FT2343,343.212435364296,0.9678511937459316,0.9594598412513733,0.955102264881134,0.9436851739883423
FT2346,343.99495889541,5.905233333333,0.9683406352996826,0.9520730376243591,0.9473671317100525
FT2347,344.043070377441,0.6686,0.922926664352417,0.8702219724655151,0.8925909399986267
FT2348,344.100930244246,5.47300029500325,0.9847294688224792,0.9864767789840698,0.9824379086494446
FT2349,344.214969472791,0.9984777793882617,0.8980293273925781,0.9321229457855225,0.8968096971511841
FT2350,344.285693176108,0.818232917785645,0.9914873838424683,0.9893468022346497,0.9891899824142456
FT2353,345.011915718842,4.359041341145834,0.9811881184577942,0.9822638630867004,0.9823557734489441
FT2354,345.046650686648,0.6963826815287266,0.8936754465103149,0.8811411261558533,0.860369086265564
FT2355,345.226214269863,1.0011014302571617,0.9126065373420715,0.9111791849136353,0.8675494194030762
FT2357,345.276413666438,0.818232917785645,0.9889003038406372,0.9885403513908386,0.9877126812934875
FT2359,346.05746081422,6.071474875895183,0.9734349846839905,0.9750062823295593,0.9673973321914673
FT2360,346.118443459823,3.36016794840495,0.980211615562439,0.9761792421340942,0.9799364805221558
FT2361,346.91526884291,13.120149739583333,0.966371476650238,0.9647625088691711,0.9364796280860901
FT2363,347.08430175792,5.173796590169267,0.9817873239517212,0.9878236055374146,0.9836132526397705
FT2364,347.163715147361,1.1174687703450517,0.9020665287971497,0.9346036314964294,0.9735585451126099
FT2366,347.279230914263,0.9844673090618533,0.9817818403244019,0.9803757667541504,0.9785056114196777
FT2368,347.886442970129,13.086900000000002,0.9863829612731934,0.9855715036392212,0.985837996006012
FT2369,348.063767775302,4.026427672322583,0.9825308918952942,0.9752815365791321,0.9825010895729065
FT2370,348.216452876052,0.98446738179508,0.9723230004310608,0.9796018600463867,0.9811236262321472
FT2371,348.387928497988,13.103533935546867,0.9609978795051575,0.965074360370636,0.9657176733016968
FT2373,348.284101366449,0.984466666667,0.985028862953186,0.9878058433532715,0.9764734506607056
FT2374,348.887658048995,13.086900000000002,0.9613527059555054,0.9424586892127991,0.952383816242218
FT2376,348.973458899844,8.91421595458985,0.24237756431102753,0.9551143646240234,0.9814262986183167
FT2378,349.124672340105,4.84112447102865,0.9801115393638611,0.9791170954704285,0.981779158115387
FT2383,349.23612884535,0.87640022404972,0.960857093334198,0.9343214631080627,0.960713803768158
FT2385,350.038297871204,3.2270070393880164,0.880588173866272,0.9999452829360962,0.9315859079360962
FT2387,350.114514471928,4.367287699381517,0.9811807870864868,0.9653730392456055,0.985511839389801
FT2403,351.11015542118,4.375534057617184,0.9861103296279907,0.9857220649719238,0.9863579869270325
FT2404,351.198730235483,5.37325,0.9896871447563171,0.9863568544387817,0.9870367050170898
FT2405,351.133783965342,4.0097910563151,0.9604859948158264,0.9806073904037476,0.9776890277862549
FT2407,351.104861404269,1.15071881612142,0.9073112607002258,0.9756636619567871,0.754450261592865
FT2408,351.181499480182,0.8099164588928217,0.9857242703437805,0.9856552481651306,0.9827699661254883
FT2410,351.252380773101,0.8847171147664383,0.9827426671981812,0.9817035794258118,0.9800035357475281
FT2414,351.942694417014,0.707314427693685,0.8722684979438782,0.8742806315422058,0.6730362772941589
FT2415,352.085944613649,0.8265414588928216,0.9940798282623291,0.9946046471595764,0.9945312142372131
FT2416,352.085812702319,0.919754219055175,0.21703317761421204,0.931361973285675,0.8874900937080383
FT2417,352.116984263655,4.367420670572916,0.9876503348350525,0.9820391535758972,0.9969733953475952
FT2418,352.113806575172,1.0942199681598266,0.9414340853691101,0.9678205847740173,0.9555188417434692
FT2422,353.025777537682,8.8975819905599,0.9247398376464844,0.9497735500335693,0.9670932292938232
FT2423,353.160760486738,0.951216666667,0.9935374855995178,0.992953360080719,0.9940506815910339
FT2424,353.155833675172,5.689313252766934,0.983331024646759,0.9820101857185364,0.9830227494239807
FT2425,353.212400752725,0.7932913088480633,0.9899721145629883,0.9879769682884216,0.9895725846290588
FT2426,353.145345345391,4.683349863688317,0.8828864693641663,0.9602707028388977,0.950796902179718
FT2427,353.125760375678,4.37567240397135,0.9753961563110352,0.9747352004051208,0.9579663872718811
FT2428,353.303117150726,0.851466666667,0.9868221282958984,0.9837860465049744,0.9853120446205139
FT2429,354.030903027903,5.315075126139484,0.9953174591064453,0.9936572909355164,0.9977818131446838
FT2430,354.106979678693,4.824650573730467,0.9886952042579651,0.9843816161155701,0.9884012937545776
FT2431,354.165073260303,0.9512176513671867,0.9890507459640503,0.9888633489608765,0.9885544180870056
FT2432,354.345110487975,0.8016,0.9967139959335327,0.9960029721260071,0.9979339838027954
FT2434,354.895125828729,13.103516666667,0.8109548687934875,0.8960950374603271,0.8501067161560059
FT2436,354.89541189632,8.299114481608067,0.017201116308569908,0.8315606713294983,0.9859195947647095
FT2437,355.169634133059,0.967842263539465,0.963136613368988,0.9728534817695618,0.9812104105949402
FT2438,355.192102549004,1.0477435111999516,0.9902676939964294,0.9974721074104309,0.017201116308569908
FT2439,355.283975577725,0.8265332664491416,0.9844986796379089,0.9848120212554932,0.9807966947555542
FT2440,355.311599915719,0.9188608169555667,0.9996734857559204,0.9889920949935913,0.9730948805809021
FT2442,355.93383586164,8.581732755533684,0.017201116308569908,0.9630991220474243,0.9731789827346802
FT2443,355.897720678183,0.6686,0.9557984471321106,0.962504506111145,0.9496633410453796
FT2444,356.097877614171,4.791416798909666,0.9785919785499573,0.981330931186676,0.9825057983398438
FT2445,356.099353239577,4.126154073079433,0.7984955906867981,0.9407814145088196,0.9462409019470215
FT2447,356.149131000615,6.354083251953133,0.979310154914856,0.983327329158783,0.974449634552002
FT2449,356.901925375559,13.103516666667,0.8913739323616028,0.9355624914169312,0.8874471187591553
FT2450,357.031150080354,5.157150268554684,0.9946533441543579,0.9948816299438477,0.9950113296508789
FT2451,357.007226587974,9.379700000000001,0.9416275024414062,0.9789719581604004,0.9790384769439697
FT2452,357.062474740901,1.516433333333,0.9474396705627441,0.9580714106559753,0.936905026435852
FT2454,357.300705902119,0.951217263539465,0.9581100344657898,0.944420337677002,0.9568750858306885
FT2456,358.032841886511,5.157160441080733,0.9955722093582153,0.9954875111579895,0.9945729374885559
FT2458,358.01669889665,0.6353636423746749,0.9671379923820496,0.9675552248954773,0.9530859589576721
FT2459,358.304067642438,0.9346008936564133,0.9489681720733643,0.9185518622398376,0.9509526491165161
FT2460,359.048311800364,5.140517171223967,0.9873255491256714,0.9142507314682007,0.982866108417511
FT2461,359.084353820055,0.917966666667,0.8657673001289368,0.8644894361495972,0.865742027759552
FT2462,358.99509318979,0.69034652709961,0.8953642845153809,0.9261532425880432,0.8839911222457886
FT2467,359.306310029728,0.9678333333329999,0.9800474047660828,0.9820466637611389,0.9794890880584717
FT2468,359.893405599078,13.095216499837232,0.9720996022224426,0.969370424747467,0.9811854958534241
FT2469,359.903143139157,5.040766906738283,0.9177995324134827,0.9781168699264526,0.9928156137466431
FT2471,360.038423284611,0.66859753926595,0.9255311489105225,0.9354867339134216,0.9316845536231995
FT2472,360.047833201491,5.007516666667,0.9874432682991028,0.992318868637085,0.9926263689994812
FT2475,360.179843305893,4.05995,0.9598598480224609,0.932781457901001,0.9373429417610168
FT2478,360.998334920554,3.2528220438639335,0.9653850197792053,0.9639055728912354,0.9461601972579956
FT2479,361.159483979793,4.026406860351567,0.9600350856781006,0.9800209403038025,0.9709348082542419
FT2480,361.167249879882,0.8697015444437667,0.9755797386169434,0.9773752093315125,0.978001594543457
FT2482,361.139274713469,5.331754811604816,0.9809072613716125,0.9533427953720093,0.975173830986023
FT2485,361.234760328762,0.851466687520345,0.8259163498878479,0.8186265826225281,0.9089382886886597
FT2486,362.062760859464,5.024150000000001,0.9893460869789124,0.9919813275337219,0.9925026893615723
FT2487,361.999581763671,3.24535,0.9179288148880005,0.8910335898399353,0.9131531119346619
FT2488,362.119884835704,4.808033333333,0.9861887097358704,0.9861211180686951,0.985393762588501
FT2489,362.23405406793,1.001083333333,0.9052110314369202,0.8850364089012146,0.9579705595970154
FT2490,362.890899131177,13.086900000000002,0.9893726706504822,0.9892839789390564,0.9886900782585144
FT2491,363.02840310162,1.4723722910561485,0.868297278881073,0.8219558000564575,0.7035534381866455
FT2492,363.010768723352,3.343512725830083,0.9692850708961487,0.9692989587783813,0.9598535895347595
FT2493,363.179271199109,0.801599719492595,0.9456562995910645,0.9350590109825134,0.9301314353942871
FT2494,363.120974949823,4.982592004394366,0.9903478622436523,0.9912342429161072,0.9919467568397522
FT2497,363.151166097047,5.37325,0.9912824630737305,0.9947012662887573,0.994530975818634
FT2498,363.253297713704,0.851466687520345,0.9855943322181702,0.9854074120521545,0.9863598942756653
FT2499,363.894486961991,13.103516666667,0.9752536416053772,0.9741723537445068,0.977637767791748
FT2500,364.096690268328,2.547133333333,0.9669055938720703,0.9608322978019714,0.9596045017242432
FT2501,364.059436281422,5.331754685465333,0.8537024855613708,0.8815778493881226,0.8865606784820557
FT2503,364.905560850745,13.086900000000002,0.9848383665084839,0.9850059151649475,0.985161304473877
FT2505,365.056812453904,6.270966593424483,0.986542820930481,0.9793382287025452,0.9860458970069885
FT2507,365.244442151326,5.040766906738283,0.9923911690711975,0.9939243197441101,0.9932234287261963
FT2508,365.268595917917,0.851466687520345,0.9917833805084229,0.990472674369812,0.991664469242096
FT2509,365.909494197446,13.086900000000002,0.978200376033783,0.9785706400871277,0.978698194026947
FT2510,366.125449747384,4.1260286966959665,0.9527317881584167,0.9835047721862793,0.9721094965934753
FT2514,366.273075815617,0.8348499331156417,0.9907944798469543,0.989632248878479,0.991553008556366
FT2515,366.259784520908,0.9437937761940883,0.9467918276786804,0.9744680523872375,0.9824591875076294
FT2517,366.910777297763,13.086900000000002,0.9453076124191284,0.9561923742294312,0.9072049260139465
FT2518,366.901106133758,0.7849746421815633,0.9967246651649475,0.996505856513977,0.9957398176193237
FT2521,367.037800444384,1.6577509277342084,0.018685350194573402,0.9460567831993103,0.9999905824661255
FT2523,367.15841068001,0.8182247922263216,0.9974675178527832,0.9970092177391052,0.9975304007530212
FT2524,367.106088573022,5.755707550048833,0.8893086910247803,0.8713920712471008,0.8783513903617859
FT2525,367.128881842905,1.8655504974365167,0.7384766340255737,0.8394011855125427,0.8746670484542847
FT2527,367.158625079381,0.919754219055175,0.9717233777046204,0.957904577255249,0.978058934211731
FT2529,367.244077064653,0.9678511937459316,0.9719082117080688,0.9766837954521179,0.9682874083518982
FT2530,367.882528820005,13.086900000000002,0.9862359166145325,0.9858478307723999,0.9863631129264832
FT2534,368.161638524909,0.8182247922263216,0.9959216117858887,0.9955276846885681,0.9963710308074951
FT2535,368.161734436313,0.919754219055175,0.9339295029640198,0.922088086605072,0.9530904293060303
FT2537,368.383247671634,13.103516666667,0.9641237258911133,0.9610289931297302,0.9625294804573059
FT2538,368.361014450479,0.801599719492595,0.9876406788825989,0.9892562627792358,0.9841234087944031
FT2539,368.898215439541,0.7932913088480633,0.9962747097015381,0.9960123300552368,0.997352123260498
FT2541,368.884156921342,13.103533935546867,0.9467113018035889,0.9683070778846741,0.9767648577690125
FT2544,369.173609503602,0.8265414588928216,0.9968781471252441,0.9964775443077087,0.9970738887786865
FT2547,369.155670249962,1.2504524230957033,0.9382390975952148,0.8858252167701721,0.9295879602432251
FT2550,370.078503471412,5.306767781575517,0.8608583211898804,0.9827380776405334,0.9774341583251953
FT2551,370.176881561319,0.8265414588928216,0.9955214262008667,0.994902491569519,0.9956507086753845
FT2553,370.176888051258,0.919754219055175,0.9403543472290039,0.9164125919342041,0.9419788718223572
FT2558,371.167238054034,5.323383585611983,0.9927431344985962,0.9939489364624023,0.9960224628448486
FT2559,371.182140593132,0.8348499331156417,0.992965579032898,0.9920680522918701,0.9931981563568115
