,mz,rt
FT0087,71.0502697272172,1.2504524230957033
FT0088,71.0139647551841,0.99248218536377
FT0089,71.0141648396075,5.739180501302084
FT0090,72.0173979494905,6.038233333332999
FT0091,72.9697046312227,13.519133333333
FT0092,73.0292708219573,2.3476500000000002
FT0093,73.0295547552231,1.009333992004395
FT0094,74.0247523993996,6.66164627075195
FT0095,74.0248278730961,5.905233333333
FT0096,74.968363127845,13.519132995605467
FT0097,74.9908640943882,1.3502
FT0098,75.0089922346253,1.4805594126383466
FT0099,75.0086949231918,2.0163027445475334
FT0100,76.0122201366225,1.4805594126383466
FT0101,77.0397018465466,1.2837024688720702
FT0102,77.0130064785794,1.4805594126383466
FT0103,78.0429012929868,1.2837024688720702
FT0104,78.9188456214371,5.007516666667
FT0105,78.9590634229804,7.26009944661475
FT0106,78.9590658653705,8.631598917643233
FT0107,78.959122815789,0.66859753926595
FT0108,79.957500320938,5.8719833333330005
FT0109,79.9572024552345,0.9346008936564133
FT0110,79.9573718051785,8.14949798583985
FT0111,79.9572532502334,8.0663838704427
FT0112,80.0117572415868,13.070282999674482
FT0113,79.9952506814236,0.9262753740944784
FT0114,79.9949410446525,5.855544535319017
FT0115,80.9747746400529,5.074016666667
FT0116,80.916881953994,5.007456461588533
FT0117,80.9653683077689,0.9179670407614784
FT0118,80.9748795959182,5.772430928548184
FT0119,80.9745927867242,6.6200668334961
FT0120,81.9535038075319,0.9345921134947067
FT0121,81.9533540086645,1.0291222254435217
FT0122,81.9538831574674,5.872176106770834
FT0123,82.9542104954837,1.8489344278971334
FT0124,82.9721229457623,5.090622456868483
FT0125,82.975180195748,13.103516666667
FT0126,83.014035866169,1.0842
FT0127,83.0249759605664,2.4291483561198004
FT0128,83.024779469059,1.7706090291341168
FT0129,84.0091636522035,13.668748982747399
FT0130,84.0091448938958,16.411757405598966
FT0131,84.9514939650461,1.8489344278971334
FT0132,85.0298023730431,6.05485
FT0133,84.9907548672383,13.086900000000002
FT0134,85.029308451001,8.0331314086914
FT0135,85.0294700509374,1.524751090494625
FT0136,85.0659429539695,1.0842185974121101
FT0137,85.9947923030135,13.0952163696289
FT0138,87.045204705778,1.4166928654986932
FT0139,87.0089338318288,1.9486673990885335
FT0140,87.0451714756672,2.979366666667
FT0141,87.0270681833893,1.0345950444539382
FT0142,86.9954553683734,13.086908467610682
FT0143,87.0094815378365,6.055021158854166
FT0144,88.0407138167768,6.137966538493
FT0145,88.0120735224732,1.9486673990885335
FT0146,88.0481415322352,1.4167023976643882
FT0147,88.0041851352958,0.66859753926595
FT0148,89.0248797542735,6.0382334391276
FT0149,89.0245487936496,2.1814165751139334
