Row.names,mz,mzmin,mzmax,rt,rtmed,rtmin,rtmax,npeaks,X1,ms_level,control_1.mzML,control_2.mzML,control_3.mzML
FT2943,375.1084986,375.1082011,375.1087576,5.949166667,356.95,356.93,356.988,3,3,1,34840.33146,27744.68687,12035.10435
FT2944,375.1173153,375.1167017,375.1173385,6.512533333,390.752,390.713,391.687,3,3,1,15611.74936,19930.10801,12431.15214
FT2945,375.2005757,375.1609261,375.2010986,0.9838,59.028,54.062,60.065,5,3,1,27393.37808,26163.21191,21700.90406
FT2946,375.1523255,375.1522304,375.1524207,3.6901,221.406,219.886,222.926,2,2,1,13048.75405,29047.92438,8655.721427
FT2947,375.2476961,375.2473753,375.2479777,0.9507,57.042,57.016,57.085,3,3,1,166194.7708,110845.5586,64402.74595
FT2948,375.7768153,375.7764465,375.7768544,12.58681667,755.209,755.151,756.158,3,3,1,23688.82842,23809.27957,13169.11979
FT2949,375.8694104,375.8693045,375.8695163,12.35425833,741.2555,741.249,741.262,2,2,1,23284.46391,3766.654391,14564.31414
FT2950,376.0825587,376.0820956,376.0825883,5.91605,354.963,354.944,355.002,3,3,1,10917.98686,13363.85847,11510.568
FT2951,376.1011705,376.101042,376.1017091,6.296733333,377.804,377.784,377.843,3,3,1,71733.71905,51905.49412,24170.43722
FT2952,376.1616278,376.1258724,376.1619432,0.901033333,54.062,53.044,56.023,5,3,1,17106.16675,31605.55191,17315.92851
FT2953,376.1182588,376.1181022,376.118433,4.8078,288.468,288.429,289.399,3,3,1,214162.5792,253465.8982,189734.7279
FT2954,376.1221401,376.1220366,376.12236,2.738933333,164.336,163.304,166.257,3,3,1,29988.28969,36223.43364,33633.52621
FT2955,376.2502594,376.2499518,376.25067,0.950266667,57.016,56.049,57.085,3,3,1,21964.14317,17427.2583,7856.480681
FT2956,376.7716305,376.7715111,376.7717819,12.58681667,755.209,755.151,756.158,3,3,1,282651.3425,245879.3371,157172.8852
