,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML,uniqueIon,example_data_for_colab.xcms_example_data..B1_NIST1950_1_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_2_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_3_6540.mzML,example_data_for_colab.xcms_example_data..blank.2_6540.mzML
2201,306.0958597324112,5.956116666666995,10907.099421692536,3371.5610686159152,6011.387045819334,1685.7805343079576,True,,,,
2202,306.171473806766,0.956116666667,12374.628128992625,12475.481521562178,11599.08204342684,4873.769957063708,True,,,,
2204,306.2050865904414,0.956116666667,2484.707077381222,2090.20739158872,2981.3110708895256,1045.10369579436,True,,,,
2207,307.03586284875746,1.7561166666670005,3642.069121814472,1390.04476703377,2918.782364469598,695.022383516885,True,,,,
2212,308.0729193878086,3.3561166666670017,13516.122330197237,16424.23342951228,13017.436486108842,6508.718243054421,True,,,,
2213,308.0729193878086,5.056116666666998,2722.427999273094,1405.0630659412668,856.5675853704433,428.28379268522167,True,,,,
2239,311.1189461573753,4.956116666666999,2018.7266300960127,873.7931608071025,1476.8869048189035,341.7390999753526,True,,,,
2243,311.14042224363124,1.056116666667,4499.040734060435,4211.840131830095,5708.480937187426,2105.9200659150474,True,,,,
2270,314.03174893090767,0.656116666667,4061.237601011663,3087.417153589229,1778.6748421909183,889.3374210954591,True,,,,
2273,314.0976802353049,6.256116666666994,2757.279084280482,2753.3193558351177,3520.204248563201,1376.6596779175588,True,,,,
2274,314.114920197857,4.856116666666999,1974.342572115092,1907.3992626167544,982.828339414394,491.414169707197,True,,,,
2291,316.5370428940796,0.656116666667,9058.646054575323,5323.897450413385,2269.812497710737,1134.9062488553684,True,,,,
2294,317.24344929079115,0.8561166666669999,1347.7906606424208,1856.6383885727544,2174.1345184550764,673.8953303212104,True,,,,
2295,317.2560879560163,0.8561166666669999,2798.528477330897,4138.3896394577605,1976.207073897397,988.1035369486985,True,,,,
2297,318.54862453110326,0.656116666667,6832.64950234493,6479.949257618521,3637.9126710243313,1818.9563355121657,True,,,,
2306,319.236301752315,0.8561166666669999,16914.285045092736,9360.75072856124,13603.941135286754,4680.37536428062,True,,,,
2307,319.236301752315,5.056116666666998,7796.622132598126,4351.128288619872,4694.892569822935,2175.564144309936,True,,,,
2309,319.24814412955106,5.056116666666998,2347.506482264213,1140.6970438661754,1996.87368393039,570.3485219330877,True,,,,
2314,320.14950426778194,1.056116666667,8297.005513863498,6219.669084334792,7036.504317296254,1405.0493889916982,True,,,,
2318,321.019621611832,1.056116666667,2425.291283477134,3439.254098847289,1753.8262450898133,876.9131225449066,True,,,,
2319,321.1326520079464,1.156116666667,3212.856714658204,1084.6590928653206,2316.864376434089,542.3295464326603,True,,,,
2324,321.2386942479532,5.056116666666998,2295.379752299516,980.0579948103164,1101.4792891870131,490.0289974051582,True,,,,
2325,322.12951399970945,1.056116666667,3744.329844364427,3861.371298697185,3916.9189434468726,1872.1649221822136,True,,,,
2348,326.0884365470977,4.956116666666999,60631.47954501662,54051.93495459932,50032.38132291814,25016.19066145907,True,,,,
2366,327.1033647318852,6.256116666666994,808.7142808439893,1101.0959099372194,1048.0543018160442,404.35714042199464,True,,,,
2369,327.1207828968479,4.4561166666670005,910.641860663722,4224.56766513926,3208.40442028908,455.320930331861,True,,,,
2374,327.1654595092874,1.056116666667,3496.433613546669,3043.8722069534483,2153.1435155151376,665.0592945699068,True,,,,
2378,327.21874997538094,0.956116666667,5851.9391139030695,3258.4638336063126,7877.252852215808,1375.8059707331995,True,,,,
2379,327.24228884047784,0.956116666667,6947.206674767555,7780.795896035122,3956.677066333188,219.56547611096005,True,,,,
2380,327.24228884047784,1.056116666667,3067.0992640732734,4064.379482190651,485.0966281459512,242.5483140729756,True,,,,
2384,327.2887496783156,0.756116666667,638.8451287085625,147.3834357908752,2068.017470675388,73.6917178954376,True,,,,
2387,327.3086748131867,1.056116666667,1400107.576389104,1167862.7742449825,1111752.28701917,555876.143509585,True,,,,
2388,328.0475483863471,0.656116666667,22671.531570006387,15839.966312559678,20570.71685881623,7919.983156279839,True,,,,
2389,328.12321602090105,1.056116666667,5585.634341009503,4726.065787686214,6154.863774800249,2363.032893843107,True,,,,
2391,328.13567410916016,4.356116666667001,6481.575053246837,4887.178456495374,8642.981011246122,2443.589228247687,True,,,,
2393,328.22424896442624,0.956116666667,1470.084367701292,2464.766428499436,1455.3777981537269,727.6888990768634,True,,,,
2397,329.04969723815816,0.656116666667,4674.969726130967,4420.806699798068,7768.618981345657,2210.403349899034,True,,,,
2410,332.14841055475154,1.056116666667,5299.592140264045,4227.337271655088,6404.526406109852,1683.7674848033612,True,,,,
2414,332.91752328598767,13.15611666666697,746.3425794990678,2451.016364808711,2021.3519490086123,373.1712897495339,True,,,,
2415,332.94447233351315,0.656116666667,1425.8450539646155,176.09442115371954,94.3053683249704,47.1526841624852,True,,,,
2416,333.1653990601351,4.356116666667001,5183.097236168273,3099.723743144315,4591.290232882138,1549.8618715721575,True,,,,
2420,334.0545401604706,0.656116666667,3310.136651523778,3040.72969254428,3577.229152056409,1520.36484627214,True,,,,
2424,334.54780353922314,0.656116666667,5413.578778510638,2929.835937619891,3751.485780202818,1464.9179688099455,True,,,,
2432,335.1157945337246,4.356116666667001,15933.54241493568,12392.49114008954,11033.436847702196,5516.718423851098,True,,,,
2448,337.9055178823291,0.756116666667,1415620.9315567997,615689.494752997,453379.2041998951,39738.10069714286,True,,,,
2459,340.17479086433235,1.156116666667,2331.7432903881504,4999.4879821569375,3682.7598713305656,1165.8716451940752,True,,,,
2463,340.2361986950432,0.956116666667,343214.9936483832,311604.24522734946,293089.1797957336,146544.5898978668,True,,,,
2469,341.238109903761,0.956116666667,53742.59206686563,46981.57377383817,45139.20932640424,3400.3780399659368,True,,,,
2476,343.21250659218987,0.956116666667,23042.484674008854,24293.601881506776,19195.64113354212,8525.220223255477,True,,,,
2478,343.24748730155505,0.956116666667,28878.655682189736,25652.328378801845,25119.89092521227,774.3129444218788,True,,,,
2484,345.2173689301655,0.956116666667,2834.2286442794143,3379.7317075428145,4092.345489856371,1417.1143221397072,True,,,,
2489,346.05698947895826,6.056116666666995,6015.737784996072,4988.927014243556,2527.519516999637,1263.7597584998184,True,,,,
2496,347.25764262730394,0.8561166666669999,1376.9833737970157,1745.837139395936,1305.6505207791606,652.8252603895803,True,,,,
2509,349.87312993440355,5.156116666666998,938.8331069357988,246.66983446985145,123.33491723492573,123.33491723492573,True,,,,
2510,350.163649846138,1.056116666667,3747.911805111416,2024.8370445455653,5390.492443511135,1012.4185222727826,True,,,,
2511,350.95845212330346,0.656116666667,5347.679785208631,1839.6638726386184,1843.7656033380456,919.8319363193092,True,,,,
2537,354.2715992943206,0.8561166666669999,1645.6926156385437,2020.9946812686069,2935.2364572497745,822.8463078192718,True,,,,
2539,354.8954300225749,13.05611666666697,3262.673178209235,4065.388414613501,4380.5434154046125,1631.3365891046176,True,,,,
2541,355.2456830980668,0.8561166666669999,11778.905117497086,7455.783978151752,9824.977646885269,3727.891989075876,True,,,,
2542,355.2456830980668,0.956116666667,4047.830328217734,3210.8160809913466,2457.144784988644,1228.572392494322,True,,,,
2546,356.9022805634371,13.05611666666697,17021.495367617183,13011.210622950051,11478.125722474657,5739.062861237328,True,,,,
2547,357.03118543291504,5.156116666666998,14784.297220918346,14529.53622806198,14495.088222354778,7247.544111177389,True,,,,
2549,357.26385177526413,0.8561166666669999,4175.717364995527,4706.355896129802,1852.6307619589988,1482.8159948305736,True,,,,
2553,359.0552346893448,0.656116666667,4933.463775165961,2549.838068898101,3254.54293942223,1274.9190344490505,True,,,,
2554,359.0552346893448,5.156116666666998,2265.443675044155,1328.6022244565231,564.1087371581602,282.0543685790801,True,,,,
2556,359.2967625682377,0.756116666667,2716.7317433438584,4742.288990896486,4193.912233491064,1358.3658716719292,True,,,,
2558,360.0376842304651,0.656116666667,6591.86177319381,2656.8227395238355,3972.371360020848,1328.4113697619177,True,,,,
2561,361.1246778477865,4.1561166666670015,3446.4818574998667,3080.891242000824,4290.095527251885,1540.445621000412,True,,,,
2593,366.90117074070025,0.756116666667,8949.47853515942,6366.277041224832,7375.771334727284,3183.138520612416,True,,,,
2594,367.105825609812,4.356116666667001,4104.6846491364095,1684.5888474125218,2950.732852185245,842.2944237062609,True,,,,
2599,367.1589240475624,0.956116666667,1085527.6160530045,956126.8863308908,920731.001322533,4519.245596012357,True,,,,
2606,368.36100413180407,0.756116666667,6866.301082198273,6926.249834463948,8940.463185531054,3433.1505410991367,True,,,,
2612,369.2252181800112,0.956116666667,3171.6356373852705,3650.945024122848,2882.684760965987,690.7537247679156,True,,,,
2615,369.29978003060273,0.8561166666669999,3658.4979830412367,4852.930571284299,4570.344366429161,1656.4177416019395,True,,,,
2618,370.304743359784,0.756116666667,2587.494466392165,3571.683099897349,3053.9733953278337,1293.7472331960826,True,,,,
2629,373.3110368522126,0.956116666667,44602.57039468754,40031.882785023605,42690.20271475888,20015.941392511802,True,,,,
2632,375.02325027327873,0.8561166666669999,15447.33256771296,16290.299228629405,12445.25855377573,6222.629276887865,True,,,,
2634,375.18341996820897,0.8561166666669999,16131.863609563145,10385.062068939358,11072.199753534533,843.6908407890095,True,,,,
2635,375.2550000426687,0.8561166666669999,5826.210066256152,7151.680510635645,3784.994760717441,1892.4973803587204,True,,,,
2638,375.3079739356792,0.8561166666669999,21589.46888537448,8876.868953109843,24036.841085178097,4438.434476554921,True,,,,
2641,376.8669662405423,4.956116666666999,4102.96059261224,3731.490377829982,2469.876592281152,1234.938296140576,True,,,,
2646,377.2697312024639,0.8561166666669999,18582.505362154792,17984.993021366343,20029.918041099038,8992.496510683171,True,,,,
2648,377.2806415250879,1.056116666667,8709.878535909784,9320.242056824633,10517.684280065909,4354.939267954892,True,,,,
2649,377.2910132099096,0.956116666667,11300.028708965165,5713.455113484311,6322.248913830191,2856.7275567421557,True,,,,
2662,381.182511879999,0.756116666667,70370.38105868819,62368.6643091084,69779.54435477995,20605.749801186572,True,,,,
