,index,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
3381,698289,507.26767699676714,0.9561166666669999,0.0,0.9846163988113403,0.9427677392959595
3382,698507,507.367836595456,0.756116666667,0.9402751922607422,0.9360727071762085,0.950840413570404
3383,698508,507.367836595456,0.8561166666669999,0.9831000566482544,0.9815795421600342,0.9819398522377014
3384,698728,507.4384054603505,0.8561166666669999,0.9923811554908752,0.9902698993682861,0.9927847385406494
3385,699070,507.83540550453694,13.05611666666697,0.9825935959815979,0.9818294048309326,0.9827835559844971
3386,699170,508.22695060822826,1.0561166666669999,0.7577421069145203,0.820801854133606,0.901170015335083
3387,699387,508.37123339388415,0.756116666667,0.9235153198242188,0.8945170044898987,0.9419214129447937
3388,699388,508.37123339388415,0.8561166666669999,0.9788737297058105,0.9694675803184509,0.9809220433235168
3389,700170,508.8469041317345,13.05611666666697,0.9875797629356384,0.9872353672981262,0.9874932765960693
3390,700171,508.8469041317345,13.15611666666697,0.819251298904419,0.8258479237556458,0.777633786201477
3391,700927,509.3294310867367,0.756116666667,0.9952502250671387,0.99456387758255,0.9957648515701294
3392,701147,509.3833607692452,0.756116666667,0.9847619533538818,0.9868062734603882,0.974800169467926
3393,701148,509.3833607692452,0.8561166666669999,0.9830195307731628,0.9839361906051636,0.9841837882995605
3394,701367,509.4561134953276,0.756116666667,0.6546004414558411,0.8285827040672302,0.8807909488677979
3395,701368,509.4561134953276,0.8561166666669999,0.9957770109176636,0.9949470162391663,0.9949436783790588
3396,701588,510.252867813822,0.8561166666669999,0.9864429235458374,0.9867218732833862,0.9847840070724487
3397,701807,510.3372518576606,0.756116666667,0.9926809668540955,0.9991648197174072,0.9956327080726624
3398,702027,510.38635375411087,0.756116666667,0.986292839050293,0.9861292243003845,0.9750012755393982
3399,702028,510.38635375411087,0.8561166666669999,0.9797159433364868,0.9797620177268982,0.982319176197052
3400,702248,510.460079118364,0.8561166666669999,0.9948381781578064,0.9954234957695007,0.996802568435669
3401,702907,511.329899236304,0.756116666667,0.9836419820785522,0.97746741771698,0.9832740426063538
3402,703127,511.39921180031297,0.756116666667,0.9913901090621948,0.9914440512657166,0.9889792203903198
3403,703128,511.39921180031297,0.8561166666669999,0.9853019118309021,0.9844512939453125,0.9861453771591187
3404,703347,511.4722969500095,0.756116666667,0.8204577565193176,0.9259549975395203,0.0
3405,703348,511.4722969500095,0.8561166666669999,0.9980975985527039,0.9976980090141296,0.9983111619949341
3406,703349,511.4722969500095,0.9561166666669999,0.9686347842216492,0.9541987180709839,0.9766231775283813
3407,703568,512.2680148480413,0.8561166666669999,0.988847017288208,0.9866403937339783,0.9895192384719849
3408,703569,512.2680148480413,0.9561166666669999,0.8450576663017273,0.7965579032897949,0.8571096062660217
3409,703787,512.4031646641287,0.756116666667,0.9888468980789185,0.988986611366272,0.9839484095573425
3410,703788,512.4031646641287,0.8561166666669999,0.9829760789871216,0.9812812209129333,0.9834195375442505
3411,704008,512.4758634393286,0.8561166666669999,0.9974111914634705,0.9969751834869385,0.9975181818008423
3412,704009,512.4758634393286,0.9561166666669999,0.9452368021011353,0.9254472255706787,0.95298171043396
3413,704228,513.2735128885685,0.8561166666669999,0.9464704394340515,0.9000991582870483,0.9574532508850098
3414,704449,513.3522657838811,0.9561166666669999,0.9178508520126343,0.8322556614875793,0.9274155497550964
3415,704667,513.4089326500392,0.756116666667,0.9872982501983643,0.9909349083900452,0.9867210388183594
3416,704668,513.4089326500392,0.8561166666669999,0.9780555367469788,0.0,0.9786070585250854
3417,704888,513.4789385253532,0.8561166666669999,0.9964414238929749,0.9955665469169617,0.9967029690742493
3418,705110,514.2845191838799,1.0561166666669999,0.8870978355407715,0.900746762752533,0.8948586583137512
3419,705327,514.410210342825,0.756116666667,0.9999971389770508,0.9999436140060425,0.9999703168869019
3420,705548,514.4821944848344,0.8561166666669999,0.9954873919487,0.9919828772544861,0.993916928768158
3421,705770,515.2788037512137,1.0561166666669999,0.9301232099533081,0.9502895474433899,0.9687077403068542
